Наименование;Цена
Процессор Intel Core i3-4170T Haswell (2013), 2C/4T, 3200MHz 3Mb TDP-35W Socket1150 tray (OEM) (CM8064601483551SR1TC);11600
Процессор Intel Core i5-4460 Haswell (2013), 4C/4T, 3200MHz 6Mb TDP-84W Socket1150 tray (OEM) (CM8064601560722SR1QK);18300
Процессор Intel Core i7-4790 Haswell (2013), 4C/8T, 3600MHz 8Mb TDP-84W Socket1150 tray (OEM) (CM8064601560113SR1QF);30400
Процессор Intel Pentium-G3260 Haswell (2013), 2C/2T, 3300MHz 3Mb TDP-53W Socket1150 tray (OEM);6500
Процессор Intel Celeron-G3900 Skylake-S, 2C/2T, 2800MHz 2Mb TDP-51W Socket1151 tray (OEM) (CM8066201928610SR2HV);4550
Процессор Intel Celeron-G4900 Coffee Lake, 2C/2T, 3100MHz 2Mb TDP-54W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403378112SR3W4);6450
Процессор Intel Celeron-G4930 Coffee Lake, 2C/2T, 3200MHz 2Mb TDP-54W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684G4930SR3YN);7800
Процессор Intel Core i3-6100 Skylake (2015), 2C/4T, 3700MHz 3Mb TDP-51W Socket1151 tray (OEM) (CM8066201927202SR2HG);12500
Процессор Intel Core i3-7100 Kaby Lake-S, 2C/4T, 3900MHz 3Mb TDP-51W Socket1151 BOX (BX80677I37100SR35C);11600
Процессор Intel Core i3-7100 Kaby Lake-S, 2C/4T, 3900MHz 3Mb TDP-51W Socket1151 tray (OEM) (CM8067703014612SR35C);8900
Процессор Intel Core i3-7300 Kaby Lake-S, 2C/4T, 4000MHz 4Mb TDP-51W Socket1151 tray (OEM) (CM8067703014426SR359);9750
Процессор Intel Core i3-8100 Coffee Lake-S, 4C/4T, 3600MHz 6Mb TDP-65W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403377308SR3N5);11900
Процессор Intel Core i3-9100 Coffee Lake, 4C/4T, 3600MHz 6Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I39100);12490
Процессор Intel Core i3-9100 Coffee Lake R, 4C/4T, 3600MHz 6Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403377319SRCZV);13000
Процессор Intel Core i3-9100F Coffee Lake R, 4C/4T, 3600MHz 6Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I39100F S RF7W);10000
Процессор Intel Core i3-9100F Coffee Lake R, 4C/4T, 3600MHz 6Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403377321);9500
Процессор Intel Core i3-9100T Coffee Lake R, 4C/4T, 3100MHz 6Mb TDP-35W Socket1151 v2 tray (OEM) (CM8068403377425);11600
Процессор Intel Core i3-9300 Coffee Lake R, 4C/4T, 3700MHz 8Mb TDP-62W Socket1151 v2 BOX (BX80684I39300);15600
Процессор Intel Core i3-9300 Coffee Lake R, 4C/4T, 3700MHz 8Mb TDP-62W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403377117SRCZU);14700
Процессор Intel Core i3-9350KF Coffee Lake R, 4C/4T, 4000MHz 8Mb TDP-91W Socket1151 v2 BOX (без кулера) (Совместимы только с 3хх чипсетами!) (BX80684I39350KFSRF7V);16000
Процессор Intel Core i5-7400 Kaby Lake-S, 4C/4T, 3000MHz 6Mb TDP-65W Socket1151 tray (OEM) (CM8067702867050SR32W);17900
Процессор Intel Core i5-7500 Kaby Lake-S, 4C/4T, 3400MHz 6Mb TDP-65W Socket1151 tray (OEM) (CM8067702868012SR335);19200
Процессор Intel Core i5-7600 Kaby Lake-S, 4C/4T, 3500MHz 6Mb TDP-65W Socket1151 tray (OEM) (CM8067702868011SR334);17000
Процессор Intel Core i5-8400 Coffee Lake-S, 6C/6T, 2800MHz 9Mb TDP-65W Socket1151 BOX (Совместимы только с 3хх чипсетами!);18300
Процессор Intel Core i5-8400 Coffee Lake-S, 6C/6T, 2800MHz 9Mb TDP-65W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403358811SR3QT);17300
Процессор Intel Core i5-8500 Coffee Lake, 6C/6T, 3000MHz 9Mb TDP-65W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403362607SR3XE);17200
Процессор Intel Core i5-8600 Coffee Lake, 6C/6T, 3100MHz 9Mb TDP-65W Socket1151 BOX (Совместимы только с 3хх чипсетами!) (BX80684I58600SR3X0);17800
Процессор Intel Core i5-8600 Coffee Lake, 6C/6T, 3100MHz 9Mb TDP-65W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403358607SR3X0);17000
Процессор Intel Core i5-8600K Coffee Lake, 6C/6T, 3600MHz 9Mb TDP-95W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403358508SR3QU);21500
Процессор Intel Core i5-8600K Coffee Lake S, 6C/6T, 3600MHz 9Mb TDP-95W Socket1151 BOX (без кулера) (Совместимы только с 3хх чипсетами!) (CM8068403358508S);24000
Процессор Intel Core i5-9400 Coffee Lake R, 6C/6T, 2900MHz 9Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I59400);16800
Процессор Intel Core i5-9400 Coffee Lake R, 6C/6T, 2900MHz 9Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403875504SRELV);16600
Процессор Intel Core i5-9400F Coffee Lake R, 6C/6T, 2900MHz 9Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I59400F S RF6M);11800
Процессор Intel Core i5-9400F Coffee Lake R, 6C/6T, 2900MHz 9Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403358819SRF6M);11890
Процессор Intel Core i5-9500 Coffee Lake R, 6C/6T, 3000MHz 9Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I59500SRF4B);20500
Процессор Intel Core i5-9500 Coffee Lake R, 6C/6T, 3000MHz 9Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403362610);17100
Процессор Intel Core i5-9500F Coffee Lake R, 6C/6T, 3000MHz 9Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I59500F S RF6Q);17300
Процессор Intel Core i5-9500F Coffee Lake R, 6C/6T, 3000MHz 9Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403362616SRF6Q);14200
Процессор Intel Core i5-9600 Coffee Lake R, 6C/6T, 3100MHz 9Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I59600SRF4H);22200
Процессор Intel Core i5-9600K Coffee Lake R, 6C/6T, 3700MHz 9Mb TDP-95W Socket1151 v2 BOX (без кулера) (Совместимы только с 3хх чипсетами!) (BX80684I59600KSRELU);19400
